replicate_id,T,tau_true,T1,T2,graph_seed,weight_seed,noise_seed_1,noise_seed_2,ours_tau_hat,ours_abs_error,ours_norm_error,mean_tau_hat,mean_abs_error,mean_norm_error,covariance_tau_hat,covariance_abs_error,covariance_norm_error,mean_covariance_tau_hat,mean_covariance_abs_error,mean_covariance_norm_error,midpoint_tau_hat,midpoint_abs_error,midpoint_norm_error,random_tau_hat,random_abs_error,random_norm_error
0,12000,1319,1319,10681,2930678936,2546691362,231159514,3904498325,1420,101,0.008416666666666666,4770,3451,0.28758333333333336,3770,2451,0.20425,3720,2401,0.20008333333333334,6020,4701,0.39175,7420,6101,0.5084166666666666
1,12000,9665,9665,2335,3372636442,3567614910,3375240238,2733034870,9920,255,0.02125,1670,7995,0.66625,1620,8045,0.6704166666666667,1670,7995,0.66625,6020,3645,0.30375,2520,7145,0.5954166666666667
2,12000,5523,5523,6477,3658236175,449229812,2120210497,1429697420,5570,47,0.003916666666666666,4570,953,0.07941666666666666,9670,4147,0.34558333333333335,9670,4147,0.34558333333333335,6020,497,0.041416666666666664,6720,1197,0.09975
3,12000,4097,4097,7903,26526043,399742464,4044820271,2940841299,4120,23,0.0019166666666666666,4670,573,0.04775,3320,777,0.06475,3320,777,0.06475,6020,1923,0.16025,1420,2677,0.22308333333333333
4,12000,6079,6079,5921,268291864,2599041519,900365976,1813001288,6020,59,0.004916666666666666,1970,4109,0.34241666666666665,8420,2341,0.19508333333333333,2070,4009,0.33408333333333334,6020,59,0.004916666666666666,2020,4059,0.33825
5,12000,8027,8027,3973,2831153538,3165004228,2027723858,3840109469,7970,57,0.00475,8020,7,0.0005833333333333334,1070,6957,0.57975,1070,6957,0.57975,6020,2007,0.16725,10720,2693,0.22441666666666665
6,12000,6529,6529,5471,1650626247,804048313,1004609507,3072711589,6570,41,0.003416666666666667,1120,5409,0.45075,1420,5109,0.42575,1420,5109,0.42575,6020,509,0.042416666666666665,9670,3141,0.26175
7,12000,8174,8174,3826,1946824476,1591419004,335152781,3457820562,6020,2154,0.1795,7170,1004,0.08366666666666667,10920,2746,0.22883333333333333,10920,2746,0.22883333333333333,6020,2154,0.1795,2120,6054,0.5045
8,12000,5667,5667,6333,2776539719,1316318848,2581914933,2776711644,5720,53,0.004416666666666667,1670,3997,0.33308333333333334,3420,2247,0.18725,5920,253,0.021083333333333332,6020,353,0.029416666666666667,10220,4553,0.3794166666666667
9,12000,9435,9435,2565,612468023,687521800,3456013467,672010139,9370,65,0.005416666666666667,1820,7615,0.6345833333333334,3670,5765,0.48041666666666666,3670,5765,0.48041666666666666,6020,3415,0.28458333333333335,6220,3215,0.2679166666666667
10,12000,6224,6224,5776,4188242804,172618290,2199905083,1011818324,6220,4,0.0003333333333333333,10420,4196,0.3496666666666667,6920,696,0.058,6920,696,0.058,6020,204,0.017,7720,1496,0.12466666666666666
11,12000,8734,8734,3266,4159557644,1749655372,2165792605,1766013002,8670,64,0.005333333333333333,3870,4864,0.4053333333333333,4370,4364,0.3636666666666667,4370,4364,0.3636666666666667,6020,2714,0.22616666666666665,10520,1786,0.14883333333333335
12,12000,5779,5779,6221,2354640255,3779106423,1205807769,1247718177,3620,2159,0.17991666666666667,4220,1559,0.12991666666666668,5120,659,0.05491666666666667,4970,809,0.06741666666666667,6020,241,0.020083333333333335,2820,2959,0.24658333333333332
13,12000,10707,10707,1293,547359310,2660637683,301611684,613082747,10670,37,0.0030833333333333333,6020,4687,0.39058333333333334,8220,2487,0.20725,8270,2437,0.20308333333333334,6020,4687,0.39058333333333334,3370,7337,0.6114166666666667
14,12000,5914,5914,6086,3685863844,1008921086,1181312476,3587686267,5970,56,0.004666666666666667,1620,4294,0.35783333333333334,1920,3994,0.3328333333333333,1920,3994,0.3328333333333333,6020,106,0.008833333333333334,2820,3094,0.25783333333333336
15,12000,7393,7393,4607,2461532447,3087277525,3373355834,1766533107,9520,2127,0.17725,6270,1123,0.09358333333333334,8520,1127,0.09391666666666666,9820,2427,0.20225,6020,1373,0.11441666666666667,8820,1427,0.11891666666666667
16,12000,5451,5451,6549,1789981315,3287893985,2482797392,2696138170,5470,19,0.0015833333333333333,1120,4331,0.36091666666666666,3370,2081,0.17341666666666666,5220,231,0.01925,6020,569,0.04741666666666667,4870,581,0.04841666666666666
17,12000,7229,7229,4771,2867406279,3019029163,2668685682,4211829156,9970,2741,0.22841666666666666,7720,491,0.040916666666666664,10870,3641,0.30341666666666667,10920,3691,0.3075833333333333,6020,1209,0.10075,5120,2109,0.17575
18,12000,4946,4946,7054,3162369418,3253604006,4283642556,3600293756,6720,1774,0.14783333333333334,3570,1376,0.11466666666666667,4270,676,0.05633333333333333,4270,676,0.05633333333333333,6020,1074,0.0895,10170,5224,0.43533333333333335
19,12000,1322,1322,10678,95735102,2268472811,461670940,1933172554,1270,52,0.004333333333333333,4970,3648,0.304,2870,1548,0.129,2870,1548,0.129,6020,4698,0.3915,5420,4098,0.3415
20,12000,10096,10096,1904,1775196567,2897049242,4195290125,451441734,10020,76,0.006333333333333333,1120,8976,0.748,2420,7676,0.6396666666666667,2420,7676,0.6396666666666667,6020,4076,0.3396666666666667,6520,3576,0.298
21,12000,4198,4198,7802,3404886175,1350403931,256355286,4123992842,4170,28,0.0023333333333333335,3470,728,0.06066666666666667,2720,1478,0.12316666666666666,2420,1778,0.14816666666666667,6020,1822,0.15183333333333332,10770,6572,0.5476666666666666
22,12000,6235,6235,5765,2579688596,257913436,1153632195,934593487,6220,15,0.00125,6170,65,0.005416666666666667,1070,5165,0.43041666666666667,6620,385,0.03208333333333333,6020,215,0.017916666666666668,4170,2065,0.17208333333333334
23,12000,9623,9623,2377,3438138682,2038244222,1627988589,4187979051,9570,53,0.004416666666666667,1070,8553,0.71275,4770,4853,0.40441666666666665,5120,4503,0.37525,6020,3603,0.30025,4970,4653,0.38775
24,12000,1722,1722,10278,4249812935,1927645932,3359175839,2502874177,1720,2,0.00016666666666666666,10920,9198,0.7665,1070,652,0.05433333333333333,2070,348,0.029,6020,4298,0.3581666666666667,2020,298,0.024833333333333332
25,12000,2095,2095,9905,2737823670,1897878463,2362090886,3588941033,2070,25,0.0020833333333333333,7720,5625,0.46875,1170,925,0.07708333333333334,7620,5525,0.46041666666666664,6020,3925,0.32708333333333334,1820,275,0.022916666666666665
26,12000,4154,4154,7846,352297697,3532672819,1121453863,2633466156,6920,2766,0.2305,7420,3266,0.27216666666666667,5520,1366,0.11383333333333333,7470,3316,0.2763333333333333,6020,1866,0.1555,10870,6716,0.5596666666666666
27,12000,6222,6222,5778,20710520,2477568700,3997699799,815480446,6270,48,0.004,8520,2298,0.1915,1070,5152,0.42933333333333334,4720,1502,0.12516666666666668,6020,202,0.016833333333333332,4120,2102,0.17516666666666666
28,12000,8198,8198,3802,2112238468,4192635738,1546795976,4069181331,8170,28,0.0023333333333333335,5670,2528,0.21066666666666667,4370,3828,0.319,4370,3828,0.319,6020,2178,0.1815,2270,5928,0.494
29,12000,7793,7793,4207,938590805,1559037707,1119202139,4192276922,7870,77,0.006416666666666667,8820,1027,0.08558333333333333,4470,3323,0.27691666666666664,4770,3023,0.2519166666666667,6020,1773,0.14775,3170,4623,0.38525
30,12000,7912,7912,4088,4016562252,2664030806,2336670391,3550298647,7970,58,0.004833333333333334,3120,4792,0.3993333333333333,3320,4592,0.38266666666666665,3120,4792,0.3993333333333333,6020,1892,0.15766666666666668,2320,5592,0.466
31,12000,4099,4099,7901,2507602287,2435621235,2832401689,3761499137,4170,71,0.005916666666666666,5120,1021,0.08508333333333333,5220,1121,0.09341666666666666,5220,1121,0.09341666666666666,6020,1921,0.16008333333333333,5720,1621,0.13508333333333333
32,12000,2284,2284,9716,1337795673,4183371724,3567344106,2587278598,8820,6536,0.5446666666666666,1170,1114,0.09283333333333334,10020,7736,0.6446666666666667,1120,1164,0.097,6020,3736,0.31133333333333335,8070,5786,0.4821666666666667
33,12000,10598,10598,1402,595798309,278593705,19161081,3077557604,10570,28,0.0023333333333333335,4170,6428,0.5356666666666666,8920,1678,0.13983333333333334,8920,1678,0.13983333333333334,6020,4578,0.3815,2620,7978,0.6648333333333334
34,12000,1536,1536,10464,1129970317,3620100934,3702184165,1826305431,5270,3734,0.31116666666666665,5270,3734,0.31116666666666665,5320,3784,0.31533333333333335,5320,3784,0.31533333333333335,6020,4484,0.37366666666666665,5320,3784,0.31533333333333335
35,12000,5214,5214,6786,4162387957,257741958,3344996617,1624739248,5270,56,0.004666666666666667,8670,3456,0.288,3470,1744,0.14533333333333334,3470,1744,0.14533333333333334,6020,806,0.06716666666666667,2670,2544,0.212
36,12000,9657,9657,2343,3478670453,1871657910,2475628568,1203252772,9670,13,0.0010833333333333333,10920,1263,0.10525,1120,8537,0.7114166666666667,1120,8537,0.7114166666666667,6020,3637,0.3030833333333333,3520,6137,0.5114166666666666
37,12000,1764,1764,10236,2381988521,1698732042,2533741156,695403330,1770,6,0.0005,2620,856,0.07133333333333333,5420,3656,0.30466666666666664,5420,3656,0.30466666666666664,6020,4256,0.3546666666666667,7370,5606,0.4671666666666667
38,12000,10728,10728,1272,2012662931,2586096262,3106440421,1703201402,10670,58,0.004833333333333334,2470,8258,0.6881666666666667,7270,3458,0.2881666666666667,7270,3458,0.2881666666666667,6020,4708,0.3923333333333333,10770,42,0.0035
39,12000,6310,6310,5690,308025637,3831807235,1002290039,1022341797,6270,40,0.0033333333333333335,10670,4360,0.36333333333333334,8120,1810,0.15083333333333335,10920,4610,0.38416666666666666,6020,290,0.024166666666666666,7970,1660,0.13833333333333334
40,12000,5490,5490,6510,3464497199,186081436,117206896,930858135,5470,20,0.0016666666666666668,10870,5380,0.4483333333333333,10870,5380,0.4483333333333333,10870,5380,0.4483333333333333,6020,530,0.04416666666666667,8570,3080,0.25666666666666665
41,12000,6578,6578,5422,313705610,505577498,1526907705,551382445,6620,42,0.0035,1070,5508,0.459,4420,2158,0.17983333333333335,4420,2158,0.17983333333333335,6020,558,0.0465,9170,2592,0.216
42,12000,6817,6817,5183,1987202789,3792602672,2479882250,2858886660,6820,3,0.00025,4720,2097,0.17475,7770,953,0.07941666666666666,3720,3097,0.25808333333333333,6020,797,0.06641666666666667,1220,5597,0.46641666666666665
43,12000,10120,10120,1880,3076232822,228598505,727562926,1388991162,10170,50,0.004166666666666667,3820,6300,0.525,10220,100,0.008333333333333333,10220,100,0.008333333333333333,6020,4100,0.3416666666666667,10620,500,0.041666666666666664
44,12000,8580,8580,3420,496731527,4263969179,2789588781,3442558041,8670,90,0.0075,3070,5510,0.45916666666666667,5920,2660,0.22166666666666668,5920,2660,0.22166666666666668,6020,2560,0.21333333333333335,2820,5760,0.48
45,12000,4913,4913,7087,1160605727,475343532,166730737,2242460944,3970,943,0.07858333333333334,1070,3843,0.32025,8270,3357,0.27975,8270,3357,0.27975,6020,1107,0.09225,8620,3707,0.3089166666666667
46,12000,9903,9903,2097,2046552867,2382159768,3274011363,961192666,9870,33,0.00275,7570,2333,0.19441666666666665,6570,3333,0.27775,6570,3333,0.27775,6020,3883,0.32358333333333333,8670,1233,0.10275
47,12000,8868,8868,3132,3381936713,2682474736,4116538325,1294905124,8820,48,0.004,10870,2002,0.16683333333333333,10920,2052,0.171,10920,2052,0.171,6020,2848,0.23733333333333334,10270,1402,0.11683333333333333
48,12000,8893,8893,3107,440209810,3057965630,3259947326,2091317874,8870,23,0.0019166666666666666,6720,2173,0.18108333333333335,9120,227,0.018916666666666665,8920,27,0.00225,6020,2873,0.23941666666666667,1220,7673,0.6394166666666666
49,12000,4399,4399,7601,731129635,3219586481,3964631815,259508351,4370,29,0.002416666666666667,4320,79,0.006583333333333333,4170,229,0.019083333333333334,4170,229,0.019083333333333334,6020,1621,0.13508333333333333,8420,4021,0.33508333333333334
50,12000,9213,9213,2787,293373796,3190125468,2174059861,1697097261,9220,7,0.0005833333333333334,7220,1993,0.16608333333333333,3970,5243,0.4369166666666667,3970,5243,0.4369166666666667,6020,3193,0.26608333333333334,2120,7093,0.5910833333333333
51,12000,4592,4592,7408,3954596183,190383673,3575337634,1272269251,4320,272,0.02266666666666667,1870,2722,0.22683333333333333,1520,3072,0.256,1770,2822,0.23516666666666666,6020,1428,0.119,10820,6228,0.519
52,12000,8413,8413,3587,2419269219,172214797,2260638893,2920378053,8520,107,0.008916666666666666,1070,7343,0.6119166666666667,9920,1507,0.12558333333333332,10920,2507,0.20891666666666667,6020,2393,0.19941666666666666,5670,2743,0.22858333333333333
53,12000,3318,3318,8682,3903251550,2663082201,636004040,2946515789,3320,2,0.00016666666666666666,6920,3602,0.3001666666666667,10220,6902,0.5751666666666667,10220,6902,0.5751666666666667,6020,2702,0.22516666666666665,2120,1198,0.09983333333333333
54,12000,7834,7834,4166,2087345296,1584469989,1346410391,1324061057,7870,36,0.003,8120,286,0.023833333333333335,9120,1286,0.10716666666666666,8070,236,0.019666666666666666,6020,1814,0.15116666666666667,6370,1464,0.122
55,12000,6596,6596,5404,3267729526,547315602,199330022,613730406,6570,26,0.0021666666666666666,2820,3776,0.31466666666666665,6870,274,0.022833333333333334,6770,174,0.0145,6020,576,0.048,2670,3926,0.32716666666666666
56,12000,10660,10660,1340,3943078599,600462121,4038959566,4212305728,10620,40,0.0033333333333333335,7720,2940,0.245,2970,7690,0.6408333333333334,1070,9590,0.7991666666666667,6020,4640,0.38666666666666666,8770,1890,0.1575
