model,global_vs_regime1_f1,global_vs_regime2_f1,global_mean_f1,local_vs_regime1_f1,local_vs_regime2_f1,local_mean_f1,global_vs_regime1_nshd,global_vs_regime2_nshd,global_mean_nshd,local_vs_regime1_nshd,local_vs_regime2_nshd,local_mean_nshd,train_run,train_seed
cMLP_train_run_0,0.4166666666661319,0.4999999999994583,0.45833333333279513,0.4166666666661319,0.4166666666661319,0.4166666666661319,0.4,0.3333333333333333,0.3666666666666667,0.36666666666666664,0.43333333333333335,0.4,0,1000
cMLP_train_run_1,0.33333333333280557,0.24999999999947914,0.2916666666661424,0.33333333333280557,0.4166666666661319,0.37499999999946876,0.43333333333333335,0.5333333333333333,0.48333333333333334,0.4,0.43333333333333335,0.4166666666666667,1,1001
cMLP_train_run_2,0.33333333333280557,0.24999999999947914,0.2916666666661424,0.4166666666661319,0.6666666666661111,0.5416666666661215,0.43333333333333335,0.5333333333333333,0.48333333333333334,0.3333333333333333,0.26666666666666666,0.3,2,1002
cMLP_train_run_3,0.33333333333280557,0.4999999999994583,0.41666666666613195,0.24999999999947914,0.24999999999947914,0.24999999999947914,0.4666666666666667,0.4,0.43333333333333335,0.4666666666666667,0.5333333333333333,0.5,3,1003
cMLP_train_run_4,0.5833333333327847,0.5833333333327847,0.5833333333327847,0.4999999999994583,0.4999999999994583,0.4999999999994583,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3666666666666667,4,1004
cMLP_train_run_5,0.33333333333280557,0.4166666666661319,0.37499999999946876,0.4999999999994583,0.4999999999994583,0.4999999999994583,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.4,0.3666666666666667,5,1005
cMLP_train_run_6,0.4999999999994583,0.1666666666661528,0.33333333333280557,0.4166666666661319,0.7499999999994376,0.5833333333327847,0.3333333333333333,0.6,0.4666666666666667,0.4,0.16666666666666666,0.2833333333333333,6,1006
cMLP_train_run_7,0.4999999999994583,0.4166666666661319,0.45833333333279513,0.4999999999994583,0.33333333333280557,0.41666666666613195,0.36666666666666664,0.4666666666666667,0.41666666666666663,0.3333333333333333,0.5333333333333333,0.43333333333333335,7,1007
cMLP_train_run_8,0.33333333333280557,0.4166666666661319,0.37499999999946876,0.4166666666661319,0.4166666666661319,0.4166666666661319,0.4,0.4,0.4,0.4,0.43333333333333335,0.4166666666666667,8,1008
cMLP_train_run_9,0.4166666666661319,0.24999999999947914,0.3333333333328055,0.4999999999994583,0.1666666666661528,0.33333333333280557,0.36666666666666664,0.5666666666666667,0.4666666666666667,0.3333333333333333,0.6,0.4666666666666667,9,1009
